[fangmq@cn18%yhstar 1_sizeof]$ ./tb_thread 
conflictnum	blocks	threads	aver	min	max	(clocks)
4	960	256		254.954909	217.986725	255.992981
8	960	256		254.621586	216.260956	255.957306
16	960	256		254.945872	217.174225	255.951569
32	960	256		254.668566	216.536469	255.966934
1	992	256		254.966326	217.197662	255.954437
2	992	256		254.683261	217.229172	255.941681
4	992	256		254.674320	216.350525	255.966156
8	992	256		254.947699	216.112778	255.968506
16	992	256		254.977831	218.033859	255.971893
32	992	256		254.627547	216.572403	255.966675
1	1024	256		255.002034	223.800797	255.991165
2	1024	256		254.982136	223.823715	255.942200
4	1024	256		255.237815	254.777878	255.937775
8	1024	256		255.219022	254.623184	255.978394
16	1024	256		254.937224	217.397400	255.899490
32	1024	256		254.967067	217.423187	255.990372
