[fangmq@cn18%yhstar memory_latency]$ ./latency 
step:register	 constant	 shared	 local	 global	 texture
221:	0.157292	121.091148	47.553909	205.457306	220.385162	109.937508
222:	0.160156	121.089066	47.531513	203.494797	218.397141	105.966148
223:	0.182292	121.088547	47.738285	205.459381	220.379181	109.927086
224:	0.255990	121.076050	47.760941	202.478394	217.421890	105.969276
225:	0.150000	121.082039	47.760941	204.487778	219.387772	109.935425
226:	0.224219	112.120316	47.552345	203.491684	218.410690	105.987244
227:	0.155990	71.722397	47.730732	205.466675	220.397675	109.940628
228:	0.191406	67.196877	47.760941	202.524231	217.391678	105.972404
229:	0.149740	107.614326	47.760941	204.483597	219.393494	109.942978
230:	0.223958	121.089592	47.727345	203.495850	218.403137	105.975266
231:	0.222396	121.075005	47.760941	204.470840	219.375793	109.926826
232:	0.158854	121.091148	47.738285	203.493759	218.383087	105.979950
233:	0.160156	121.070839	47.738285	205.443756	220.384125	109.938286
234:	0.216146	85.859116	47.726566	202.501572	217.385422	105.971359
235:	0.155990	121.087509	47.730732	204.478394	219.389587	109.930473
236:	0.191406	85.856514	47.793232	202.472931	217.405212	105.986206
237:	0.149740	121.079430	47.756775	204.453140	219.376053	109.929436
238:	0.225000	120.966675	47.738285	202.496887	217.402878	105.983337
239:	0.149740	121.077347	47.789066	204.461990	219.390640	109.924484
240:	0.158854	121.091148	47.738285	203.514587	218.370331	105.975006
241:	0.221094	53.868233	47.760941	204.473450	219.484909	109.929169
242:	0.186198	121.085426	47.552345	203.510681	218.402618	105.975006
243:	0.190885	121.082039	47.730732	204.479431	219.387772	109.931519
244:	0.152604	121.039330	47.760941	202.508087	217.415634	105.980736
245:	0.152865	121.080215	47.730732	204.465118	219.390121	109.932037
246:	0.153906	76.386200	47.789066	202.507568	217.386734	105.973442
247:	0.183333	121.091148	47.406513	205.457306	220.398712	109.926048
248:	0.152604	121.020058	47.793232	202.509644	217.390381	105.978134
249:	0.191146	121.077873	47.738285	204.475266	219.380219	109.929436
250:	0.223958	103.814331	47.789066	202.508606	217.410172	105.972664
251:	0.225781	104.464325	47.435680	205.464600	220.401581	109.939590
252:	0.183073	121.088028	47.793232	203.504181	218.350006	105.967712
253:	0.157292	121.087769	47.406513	205.456268	220.384903	109.934120
254:	0.223958	121.080475	47.760941	202.485428	217.403656	105.977867
255:	0.225000	121.083603	47.760941	204.497147	219.330994	109.928650
256:	0.154167	120.294540	47.730732	201.792984	217.698715	105.942451
257:	0.188542	121.082039	47.789066	204.495056	219.375534	109.911728
258:	0.149740	121.082558	47.726566	202.510162	217.269287	105.939331
259:	0.151823	121.080734	47.730732	204.507568	219.394287	109.904434
260:	0.189323	121.079430	47.738285	202.473969	217.404175	105.938805
261:	0.188021	121.084122	47.760941	204.475525	219.260162	109.903648
262:	0.185156	121.093758	47.738285	203.543762	218.392715	105.952606
263:	0.222396	121.089333	47.567711	205.459381	220.385956	109.896881
264:	0.157292	85.418755	47.531513	203.500015	218.235947	105.943237
265:	0.188542	121.079170	47.760941	204.487778	219.390381	109.910164
266:	0.284375	121.086983	47.738285	203.515900	218.387772	105.949226
267:	0.222135	62.980732	47.553909	205.455215	220.221359	109.889587
268:	0.189323	121.075790	47.730732	202.481522	217.407043	105.950790
269:	0.149740	121.074226	47.760941	204.481262	219.383865	109.897919
270:	0.150000	121.083076	47.793232	202.502350	217.265121	105.958076
271:	0.222396	121.092712	47.738285	205.477356	220.402100	109.908340
272:	0.255990	121.078133	47.760941	202.485428	217.423187	105.938286
273:	0.188542	53.875263	47.789066	204.478394	219.089600	109.894539
274:	0.185938	112.105217	47.727345	203.492722	218.420319	105.947403
275:	0.222917	121.078133	47.730732	204.476059	219.392975	109.911728
276:	0.225000	121.076569	47.760941	202.478134	217.275009	105.940109
277:	0.151823	90.426826	47.553909	204.469543	219.392456	109.905472
278:	0.156771	121.086983	47.552345	203.505219	218.378143	105.930992
279:	0.190625	76.352089	47.789066	204.465637	219.265900	109.899483
280:	0.158854	121.087509	47.738285	203.502090	218.398193	105.939590
281:	0.222135	121.090889	47.738285	205.473969	220.375015	109.901566
282:	0.194010	112.153648	47.789066	202.492722	217.340897	105.940369
283:	0.157292	121.090630	47.435680	205.463547	220.396881	109.903648
284:	0.188542	121.080734	47.760941	202.500275	217.380737	105.937248
285:	0.255729	121.085426	47.406513	205.465637	220.399750	109.905212
286:	0.185938	121.011467	47.552345	203.498962	218.395584	105.942711
287:	0.157292	121.085686	47.738285	205.467712	220.376312	109.898964
288:	0.191406	121.080994	47.726566	202.457306	217.420319	105.946358
289:	0.190625	121.075790	47.789066	204.489853	219.401840	109.890633
290:	0.219271	121.079956	47.730732	202.521103	217.409393	105.941414
291:	0.222396	98.649742	47.406513	205.466675	220.382050	109.903130
292:	0.182813	67.209381	47.531513	203.516678	218.421371	105.940887
293:	0.152083	62.701046	47.738285	204.485947	219.354706	109.902870
294:	0.151302	94.118233	47.793232	202.512772	217.341934	105.950790
295:	0.255208	121.083862	47.734116	205.473969	220.382828	109.898186
296:	0.186458	121.083076	47.738285	203.495316	218.397400	105.945839
297:	0.222135	121.086464	47.553909	205.453140	220.393768	109.898445
298:	0.253385	121.061203	47.738285	202.516418	217.416672	105.956512
299:	0.151823	107.915367	47.738285	204.488815	219.326050	109.907555
300:	0.157292	121.089592	47.738285	203.514847	218.420837	105.935425
301:	0.190885	78.260422	47.567711	204.483597	219.388290	109.901825
302:	0.183594	121.094536	47.738285	203.508347	218.389862	105.942978
303:	0.155990	98.703651	47.567711	205.468765	220.393234	109.911461
304:	0.158854	121.086983	47.738285	203.514587	218.423965	105.946358
305:	0.151823	121.060944	47.760941	204.492981	219.334381	109.891411
306:	0.284115	121.085945	47.738285	203.510422	218.425018	105.943237
307:	0.188542	69.557556	47.730732	204.502090	219.395325	109.901306
308:	0.158854	121.086723	47.531513	203.495850	218.383347	105.931778
309:	0.226302	121.089066	47.406513	205.464600	220.395325	109.905212
310:	0.153906	103.837509	47.714848	203.507309	218.417725	105.935944
311:	0.190885	121.085426	47.553909	205.441681	220.367981	109.891670
312:	0.160156	121.089066	47.714848	203.509644	218.413300	105.946358
313:	0.191927	121.080475	47.760941	204.467972	219.393768	109.900787
314:	0.253125	112.118492	47.760941	202.516937	217.407303	105.948700
315:	0.222917	53.841408	47.567711	205.462509	220.319275	109.913544
316:	0.191406	103.141930	47.760941	202.505478	217.387512	105.950264
317:	0.182813	121.085426	47.738285	205.428131	220.372147	109.901047
318:	0.152865	121.081520	47.726566	202.514847	217.407562	105.950790
319:	0.221354	121.085426	47.756775	204.486725	219.392197	109.900269
320:	0.158854	121.078651	47.531513	203.513550	218.461472	105.933342
321:	0.222917	107.810165	47.406513	204.492981	219.382568	109.903389
322:	0.185938	121.088028	47.727345	203.503128	218.415634	105.936722
323:	0.186719	80.812767	47.793232	204.455215	219.371628	109.891151
324:	0.151302	103.158859	47.793232	202.464600	217.423965	105.947144
325:	0.152604	121.077347	47.756775	204.475784	219.388550	109.901306
326:	0.257292	121.063805	47.714848	203.511475	218.401840	105.936981
327:	0.189323	121.082039	47.760941	204.486984	219.388031	109.904694
328:	0.158854	85.334381	47.531513	203.497406	218.410431	105.939590
329:	0.220313	121.086983	47.738285	205.456268	220.363297	109.918236
330:	0.225000	103.219536	47.760941	202.491684	217.408081	105.962242
331:	0.254948	121.089592	47.435680	205.467712	220.382828	109.890373
332:	0.156771	120.938026	47.714848	203.480225	218.406006	105.938026
333:	0.157292	121.093498	47.435680	205.458344	220.390900	109.915634
334:	0.151302	121.081253	47.760941	202.496887	217.416412	105.944534
335:	0.220313	121.080994	47.730732	204.471878	219.343246	109.909637
336:	0.158854	121.085945	47.738285	203.513550	218.417206	105.949226
337:	0.151823	121.079430	47.756775	204.475784	219.373184	109.911201
338:	0.223958	121.069016	47.760941	202.509644	217.388550	105.940887
339:	0.151823	112.096878	47.730732	204.482559	219.398972	109.894798
340:	0.149740	85.159119	47.760941	202.473969	217.419540	105.960159
341:	0.153385	58.182293	47.760941	204.484650	219.372147	109.904953
342:	0.222656	67.178131	47.738285	203.491150	218.407303	105.937508
343:	0.222396	94.111984	47.734116	204.473190	219.393234	109.893234
344:	0.153906	121.076569	47.789066	202.505997	217.389587	105.940369
345:	0.157292	121.085426	47.738285	205.461472	220.388290	109.910423
346:	0.157292	121.083336	47.738285	203.494797	218.410950	105.938545
347:	0.190885	121.074226	47.789066	204.465118	219.369797	109.907036
348:	0.186198	121.076569	47.714848	203.496887	218.415634	105.940109
349:	0.153385	121.080475	47.793232	204.503403	219.381256	109.903389
350:	0.256771	121.070320	47.531513	203.493759	218.375275	105.941154
351:	0.151823	105.277351	47.760941	204.477356	219.387512	109.907555
352:	0.152604	121.079697	47.760941	202.476837	217.435165	105.951828
353:	0.157292	63.106255	47.406513	205.463547	220.377090	109.895576
354:	0.152604	121.086723	47.793232	202.511734	217.420837	105.926048
355:	0.157292	121.087769	47.738285	205.465637	220.404434	109.904175
356:	0.221354	67.438026	47.531513	203.463547	218.370590	105.931259
357:	0.222396	121.077087	47.760941	204.491684	219.385422	109.920059
358:	0.157292	121.092194	47.738285	203.500015	218.403397	105.943237
359:	0.220833	121.082298	47.789066	204.478653	219.366684	109.896103
360:	0.154167	121.077087	47.793232	202.511734	217.413025	105.938286
361:	0.150000	80.775261	47.756775	204.481522	219.386475	109.895317
362:	0.160156	94.207817	47.531513	203.522141	218.373703	105.942711
363:	0.191927	121.081253	47.730732	204.475266	219.396622	109.912247
364:	0.152604	121.042976	47.789066	202.464600	217.397141	105.952873
365:	0.222396	121.081520	47.730732	204.481781	219.377869	109.894539
366:	0.152604	85.946617	47.760941	202.494537	217.403915	105.940887
367:	0.222396	121.089066	47.738285	205.469803	220.395065	109.904175
368:	0.160156	121.085945	47.552345	203.516678	218.344284	105.934120
369:	0.149740	121.078911	47.756775	204.502869	219.384384	109.892715
370:	0.156771	121.084381	47.738285	203.485947	218.396362	105.943756
371:	0.253646	116.592972	47.760941	204.478394	219.385956	109.914070
372:	0.149740	67.254951	47.789066	202.524231	217.399490	105.944534
373:	0.220833	80.694016	47.756775	204.479172	219.400009	109.903915
374:	0.223958	121.080734	47.760941	202.508606	217.388809	105.938545
375:	0.221354	121.079430	47.793232	204.492981	219.392715	109.900269
376:	0.221354	121.086464	47.793232	203.500015	218.400009	105.940109
377:	0.190885	121.090630	47.406513	205.465637	220.378143	109.904694
378:	0.223958	121.079697	47.726566	202.505997	217.406265	105.940369
379:	0.150000	104.209122	47.738285	204.470062	219.384644	109.893234
380:	0.160156	121.093239	47.738285	203.497925	218.373962	105.934120
381:	0.152604	121.023705	47.756775	204.497147	219.390900	109.900787
382:	0.221354	94.521881	47.738285	203.491684	218.388031	105.934639
383:	0.155990	121.093758	47.738285	205.448975	220.376053	109.903130
384:	0.151302	120.542976	47.760941	202.524231	217.699753	105.934898
385:	0.160156	121.090630	47.406513	205.483612	220.384384	109.914330
386:	0.152604	121.078392	47.760941	202.503403	217.374496	105.941414
387:	0.184896	121.090630	47.406513	205.461472	220.389069	109.913544
388:	0.223958	121.077347	47.789066	202.503403	217.411209	105.942978
389:	0.184896	121.093498	47.738285	205.477097	220.360687	109.899742
390:	0.191406	58.442970	47.726566	202.507568	217.419800	105.940369
391:	0.186719	121.091148	47.553909	205.460434	220.391937	109.904953
392:	0.160156	120.978653	47.738285	203.502090	218.371109	105.943756
393:	0.160156	121.088547	47.734116	205.440643	220.390381	109.905472
394:	0.151302	69.058334	47.726566	202.547150	217.409119	105.934639
395:	0.153385	121.070061	47.793232	204.488556	219.345062	109.908081
396:	0.183073	103.242973	47.552345	203.496887	218.394547	105.935425
397:	0.157292	121.090111	47.406513	205.467712	220.389069	109.914589
398:	0.185938	86.504173	47.738285	203.505219	218.386475	105.953133
399:	0.183333	121.085426	47.738285	205.482559	220.387772	109.901825
400:	0.156771	121.089592	47.552345	203.515640	218.388031	105.940628
401:	0.157292	121.090630	47.738285	205.461472	220.350800	109.901825
402:	0.218750	121.077347	47.789066	202.517456	217.407822	105.955994
403:	0.152083	121.075005	47.406513	204.474228	219.386734	109.889328
404:	0.224740	121.090111	47.738285	203.494797	218.304962	105.951050
405:	0.157292	121.089592	47.553909	205.460434	220.402618	109.904953
406:	0.152604	121.075790	47.789066	202.480225	217.408081	105.940109
407:	0.253125	107.597664	47.738285	204.483871	219.262772	109.899742
408:	0.257812	85.133080	47.760941	202.499756	217.406265	105.936722
409:	0.186198	62.690109	47.553909	205.461472	220.362244	109.918755
410:	0.157292	58.173439	47.738285	203.506256	218.359131	105.944275
411:	0.151823	80.616409	47.789066	204.485687	219.393234	109.897919
412:	0.157552	103.096619	47.789066	202.515900	217.411728	105.933342
413:	0.186198	121.091148	47.738285	205.467712	220.327362	109.902092
414:	0.156771	121.085945	47.738285	203.476578	218.404953	105.956253
415:	0.222396	121.083336	47.553909	205.476059	220.383087	109.902611
416:	0.154167	121.075790	47.730732	202.476318	217.315369	105.947144
417:	0.220313	121.075264	47.760941	204.474228	219.397400	109.908859
418:	0.149740	121.080475	47.760941	202.479172	217.440903	105.946617
